Year,Carrier,Weather,NAS,Security,LateAircraft
2003,0.2633041781424417,0.06106548970349286,0.36453766935170995,0.002478782780383435,0.30861388002197204
2004,0.2576755316256051,0.06892290937027222,0.33483260151330607,0.002452087936069133,0.3361168695547477
2005,0.2802841115365505,0.06161775190048057,0.3143272400544106,0.0018437129818687896,0.34192718352668955
2006,0.27819839139163793,0.05567161192387782,0.2937445209029292,0.002539035647259451,0.36984644013429563
2007,0.28542792792324184,0.05686723967976556,0.27940708254637,0.0017527475813919294,0.3765450022692309
2008,0.2775712613749028,0.05348366045367648,0.30207880046344104,0.0013194673149919344,0.36554681039298775
